Date,Description,Amount,Type,Account,Mode,Balance
2025-08-28,Uber Trip Hyderabad,245.50,DEBIT,ICICI-1234,UPI,50234.20
2025-08-29,Amazon Order #112-334,1499.00,DEBIT,ICICI-1234,CARD,48735.20
2025-08-30,Salary - ACME Corp,65000.00,CREDIT,ICICI-1234,NEFT,113735.20
2025-09-01,Swiggy Order 5562,399.00,DEBIT,ICICI-1234,UPI,113336.20
2025-09-02,Rent - September,15000.00,DEBIT,ICICI-1234,NEFT,98336.20
2025-09-03,Jio Fiber Monthly,999.00,DEBIT,ICICI-1234,AUTO,97337.20
2025-09-05,IRCTC Train Booking,1250.00,DEBIT,ICICI-1234,UPI,96087.20
2025-09-08,PhonePe Cashback,50.00,CREDIT,ICICI-1234,UPI,96137.20
2025-09-10,BigBasket Weekly,1200.00,DEBIT,ICICI-1234,UPI,94937.20
2025-09-12,Netflix Subscription,649.00,DEBIT,ICICI-1234,CARD,94288.20
2025-09-15,Flipkart Festive,3999.00,DEBIT,ICICI-1234,CARD,90289.20
2025-09-30,Salary - ACME Corp,65000.00,CREDIT,ICICI-1234,NEFT,155289.20
